locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHCJGCNO_02025	CDS	252	yefM		COG2161	Antitoxin YefM
MHCJGCNO_02026	CDS	900	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
MHCJGCNO_02027	CDS	1305	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
MHCJGCNO_02028	CDS	1071	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
MHCJGCNO_02029	CDS	1068	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
MHCJGCNO_02030	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
MHCJGCNO_02031	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
MHCJGCNO_02032	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
MHCJGCNO_02033	CDS	612	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
MHCJGCNO_02034	CDS	978	wzzB		COG3765	Chain length determinant protein
MHCJGCNO_02035	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
MHCJGCNO_02036	CDS	1407	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
MHCJGCNO_02037	CDS	822				hypothetical protein
MHCJGCNO_02038	CDS	711	wfeD	2.4.1.304		UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,4-galactosyltransferase
MHCJGCNO_02039	CDS	546				hypothetical protein
MHCJGCNO_02040	CDS	720				hypothetical protein
MHCJGCNO_02041	CDS	906				hypothetical protein
MHCJGCNO_02042	CDS	687				hypothetical protein
MHCJGCNO_02043	CDS	558				hypothetical protein
MHCJGCNO_02044	CDS	1443	tuaB		COG2244	Teichuronic acid biosynthesis protein TuaB
MHCJGCNO_02045	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MHCJGCNO_02046	CDS	1395				hypothetical protein
MHCJGCNO_02047	CDS	1221	mshA	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MHCJGCNO_02048	CDS	1281				hypothetical protein
MHCJGCNO_02049	CDS	1479	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
MHCJGCNO_02050	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
MHCJGCNO_02051	CDS	1371	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
MHCJGCNO_02052	CDS	1437	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
MHCJGCNO_02053	CDS	1215				hypothetical protein
MHCJGCNO_02054	CDS	483	gmm	3.6.1.-	COG0494	GDP-mannose mannosyl hydrolase
MHCJGCNO_02055	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
MHCJGCNO_02056	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
MHCJGCNO_02057	CDS	549	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
MHCJGCNO_02058	CDS	747				hypothetical protein
MHCJGCNO_02059	CDS	1218				hypothetical protein
MHCJGCNO_02060	CDS	1218				hypothetical protein
MHCJGCNO_02061	CDS	489	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
MHCJGCNO_02062	CDS	840				hypothetical protein
MHCJGCNO_02063	CDS	2163	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
MHCJGCNO_02064	CDS	444	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
MHCJGCNO_02065	CDS	1140				hypothetical protein
MHCJGCNO_02066	CDS	1584				hypothetical protein
MHCJGCNO_02067	CDS	1854				hypothetical protein
MHCJGCNO_02068	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
MHCJGCNO_02069	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
MHCJGCNO_02070	CDS	3318	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
MHCJGCNO_02071	CDS	849	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
MHCJGCNO_02072	CDS	1353	dnaK_2			Chaperone protein DnaK
MHCJGCNO_02073	CDS	1941	yegI	2.7.-.-	COG4248	Protein kinase YegI
MHCJGCNO_02074	CDS	681	pphC	3.1.3.16		Serine/threonine-protein phosphatase 3
MHCJGCNO_02075	CDS	660				hypothetical protein
MHCJGCNO_02076	CDS	1368	mdtA			Multidrug resistance protein MdtA
MHCJGCNO_02077	CDS	3123	mdtB		COG0841	Multidrug resistance protein MdtB
MHCJGCNO_02078	CDS	3078	mdtC		COG0841	Multidrug resistance protein MdtC
MHCJGCNO_02079	CDS	1416	mdtD			Putative multidrug resistance protein MdtD
MHCJGCNO_02080	CDS	1404	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
MHCJGCNO_02081	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
MHCJGCNO_02082	CDS	333				hypothetical protein
MHCJGCNO_02083	CDS	606				hypothetical protein
MHCJGCNO_02084	CDS	2109				hypothetical protein
MHCJGCNO_02085	CDS	717				hypothetical protein
MHCJGCNO_02086	CDS	1215				hypothetical protein
MHCJGCNO_02087	CDS	1362	rlhA_2		COG0826	23S rRNA 5-hydroxycytidine synthase
MHCJGCNO_02088	CDS	318				hypothetical protein
MHCJGCNO_02089	CDS	900	yegS	2.7.1.-	COG1597	Lipid kinase YegS
MHCJGCNO_02090	CDS	780	srlR_2		COG1349	Glucitol operon repressor
MHCJGCNO_02091	CDS	1041	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
MHCJGCNO_02092	CDS	1356	gatC_3		COG3775	PTS system galactitol-specific EIIC component
MHCJGCNO_02093	CDS	285	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
MHCJGCNO_02094	CDS	453	gatA_3		COG1762	PTS system galactitol-specific EIIA component
MHCJGCNO_02095	CDS	1263	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
MHCJGCNO_02096	CDS	855	gatY_1	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
MHCJGCNO_02097	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
MHCJGCNO_02098	CDS	1278	yegT			Putative nucleoside transporter YegT
MHCJGCNO_02099	CDS	1005	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
MHCJGCNO_02100	CDS	966	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
MHCJGCNO_02101	CDS	747	nagR		COG2188	HTH-type transcriptional repressor NagR
MHCJGCNO_02102	CDS	819				hypothetical protein
MHCJGCNO_02103	CDS	801	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
MHCJGCNO_02104	CDS	789	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
MHCJGCNO_02105	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
MHCJGCNO_02106	CDS	786	rcnA		COG2215	Nickel/cobalt efflux system RcnA
MHCJGCNO_02107	CDS	339	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
MHCJGCNO_02108	CDS	1035	yehA			putative fimbrial-like protein YehA
MHCJGCNO_02109	CDS	2481	yehB		COG3188	Outer membrane usher protein YehB
MHCJGCNO_02110	CDS	675	yehC		COG3121	putative fimbrial chaperone YehC
MHCJGCNO_02111	CDS	543	yehD			putative fimbrial-like protein YehD
MHCJGCNO_02112	CDS	282				hypothetical protein
MHCJGCNO_02113	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
MHCJGCNO_02114	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
MHCJGCNO_02115	CDS	3789				hypothetical protein
MHCJGCNO_02116	CDS	3633				hypothetical protein
MHCJGCNO_02117	CDS	318				hypothetical protein
MHCJGCNO_02118	CDS	90				hypothetical protein
MHCJGCNO_02119	CDS	1089	yehL		COG0714	putative protein YehL
MHCJGCNO_02120	CDS	2280				hypothetical protein
MHCJGCNO_02121	CDS	1137				hypothetical protein
MHCJGCNO_02122	CDS	2004				hypothetical protein
MHCJGCNO_02123	CDS	462	yehR		COG4808	putative lipoprotein YehR
MHCJGCNO_02124	CDS	471				hypothetical protein
MHCJGCNO_02125	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
MHCJGCNO_02126	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
MHCJGCNO_02127	CDS	732	mlrA		COG0789	HTH-type transcriptional regulator MlrA
MHCJGCNO_02128	CDS	108				hypothetical protein
MHCJGCNO_02129	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
MHCJGCNO_02130	CDS	927	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
MHCJGCNO_02131	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
MHCJGCNO_02132	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
MHCJGCNO_02133	CDS	2268		3.2.1.-		Beta-xylosidase
MHCJGCNO_02134	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
MHCJGCNO_02135	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
MHCJGCNO_02136	CDS	588	yohC			Inner membrane protein YohC
MHCJGCNO_02137	CDS	579	yohD		COG0586	Inner membrane protein YohD
MHCJGCNO_02138	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
MHCJGCNO_02139	CDS	1437	ttgI			Toluene efflux pump outer membrane protein TtgI
MHCJGCNO_02140	CDS	951	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
MHCJGCNO_02141	CDS	399				hypothetical protein
MHCJGCNO_02142	CDS	696	yohK_1		COG1346	Inner membrane protein YohK
MHCJGCNO_02143	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
MHCJGCNO_02144	CDS	720				hypothetical protein
MHCJGCNO_02145	CDS	240				hypothetical protein
MHCJGCNO_02146	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
MHCJGCNO_02147	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
MHCJGCNO_02148	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
MHCJGCNO_02149	CDS	1521	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
MHCJGCNO_02150	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
MHCJGCNO_02151	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
MHCJGCNO_02152	CDS	1158				hypothetical protein
MHCJGCNO_02153	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
MHCJGCNO_02154	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
MHCJGCNO_02155	CDS	1992	cirA		COG4771	Colicin I receptor
MHCJGCNO_02156	CDS	1470	lysP		COG0833	Lysine-specific permease
MHCJGCNO_02157	CDS	807	cysL		COG0583	HTH-type transcriptional regulator CysL
MHCJGCNO_02158	CDS	1050				hypothetical protein
MHCJGCNO_02159	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
MHCJGCNO_02160	CDS	1089	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
MHCJGCNO_02161	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
MHCJGCNO_02162	CDS	699	yeiL		COG0664	Regulatory protein YeiL
MHCJGCNO_02163	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
MHCJGCNO_02164	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
MHCJGCNO_02165	CDS	942	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
MHCJGCNO_02166	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
MHCJGCNO_02167	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
MHCJGCNO_02168	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
MHCJGCNO_02169	CDS	1182	setB			Sugar efflux transporter B
MHCJGCNO_02170	CDS	255				hypothetical protein
MHCJGCNO_02171	CDS	573	yeiP		COG0231	Elongation factor P-like protein
MHCJGCNO_02172	CDS	1467	mtlK_1	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
MHCJGCNO_02173	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
MHCJGCNO_02174	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
MHCJGCNO_02175	CDS	567	mepS_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
MHCJGCNO_02176	CDS	1557	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
MHCJGCNO_02177	CDS	1815				hypothetical protein
MHCJGCNO_02178	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
MHCJGCNO_02179	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
MHCJGCNO_02180	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
MHCJGCNO_02181	CDS	345	yejG			putative protein YejG
MHCJGCNO_02182	CDS	1191	bcr_2			Bicyclomycin resistance protein
MHCJGCNO_02183	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
MHCJGCNO_02184	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
MHCJGCNO_02185	CDS	285	rplY		COG1825	50S ribosomal protein L25
MHCJGCNO_02186	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
MHCJGCNO_02187	CDS	228				hypothetical protein
MHCJGCNO_02188	CDS	1761	yejM		COG3083	Inner membrane protein YejM
MHCJGCNO_02189	tRNA	77				tRNA-Pro(ggg)
MHCJGCNO_02190	CDS	156				hypothetical protein
MHCJGCNO_02191	CDS	99				hypothetical protein
MHCJGCNO_02192	CDS	390				hypothetical protein
MHCJGCNO_02193	CDS	204				hypothetical protein
MHCJGCNO_02194	CDS	648	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
MHCJGCNO_02195	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
MHCJGCNO_02196	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
MHCJGCNO_02197	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
MHCJGCNO_02198	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
MHCJGCNO_02199	CDS	210	ccmD		COG3114	Heme exporter protein D
MHCJGCNO_02200	CDS	738	ccmC		COG0755	Heme exporter protein C
MHCJGCNO_02201	CDS	663	ccmB		COG2386	Heme exporter protein B
MHCJGCNO_02202	CDS	618	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
MHCJGCNO_02203	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
MHCJGCNO_02204	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
MHCJGCNO_02205	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
MHCJGCNO_02206	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
MHCJGCNO_02207	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
MHCJGCNO_02208	CDS	264	napD		COG3062	Chaperone NapD
MHCJGCNO_02209	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
MHCJGCNO_02210	CDS	165				hypothetical protein
MHCJGCNO_02211	CDS	489	eco		COG4574	Ecotin
MHCJGCNO_02212	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
MHCJGCNO_02213	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
MHCJGCNO_02214	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
MHCJGCNO_02215	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
MHCJGCNO_02216	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
MHCJGCNO_02217	CDS	1128	ompC		COG3203	Outer membrane porin C
MHCJGCNO_02218	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
MHCJGCNO_02219	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
MHCJGCNO_02220	CDS	2850	rcsC	2.7.13.3		Sensor histidine kinase RcsC
MHCJGCNO_02221	CDS	1827	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
MHCJGCNO_02222	CDS	1386	atoC		COG2204	Regulatory protein AtoC
MHCJGCNO_02223	CDS	663	atoD	2.8.3.8	COG1788	Acetate CoA-transferase subunit alpha
MHCJGCNO_02224	CDS	651	atoA	2.8.3.8	COG2057	Acetate CoA-transferase subunit beta
MHCJGCNO_02225	CDS	1323	atoE		COG2031	Putative short-chain fatty acid transporter
MHCJGCNO_02226	CDS	1185	atoB	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
MHCJGCNO_02227	CDS	777				hypothetical protein
MHCJGCNO_02228	CDS	1650				hypothetical protein
MHCJGCNO_02229	CDS	4395				hypothetical protein
MHCJGCNO_02230	CDS	624				hypothetical protein
MHCJGCNO_02231	CDS	1689				hypothetical protein
MHCJGCNO_02232	CDS	2628	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MHCJGCNO_02233	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
MHCJGCNO_02234	CDS	3765	yfaL		COG3468	putative autotransporter YfaL
MHCJGCNO_02235	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
MHCJGCNO_02236	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
MHCJGCNO_02237	CDS	255				hypothetical protein
MHCJGCNO_02238	CDS	651	inaA			Protein InaA
MHCJGCNO_02239	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
MHCJGCNO_02240	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
MHCJGCNO_02241	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
MHCJGCNO_02242	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
MHCJGCNO_02243	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
MHCJGCNO_02244	CDS	960				ISNCY family transposase ISRor2
MHCJGCNO_02245	CDS	198				hypothetical protein
MHCJGCNO_02246	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
MHCJGCNO_02247	CDS	1290	rhmT			Inner membrane transport protein RhmT
MHCJGCNO_02248	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
MHCJGCNO_02249	CDS	783	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
MHCJGCNO_02250	CDS	1203	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
MHCJGCNO_02251	CDS	543				hypothetical protein
MHCJGCNO_02252	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
MHCJGCNO_02253	CDS	603	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
MHCJGCNO_02254	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
MHCJGCNO_02255	CDS	969	arnC_2	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MHCJGCNO_02256	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
MHCJGCNO_02257	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
MHCJGCNO_02258	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
MHCJGCNO_02259	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
MHCJGCNO_02260	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
MHCJGCNO_02261	CDS	267	pmrD			Signal transduction protein PmrD
MHCJGCNO_02262	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
MHCJGCNO_02263	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
MHCJGCNO_02264	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
MHCJGCNO_02265	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MHCJGCNO_02266	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
MHCJGCNO_02267	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
MHCJGCNO_02268	CDS	306	elaB		COG4575	Protein ElaB
MHCJGCNO_02269	CDS	462	elaA		COG2153	Protein ElaA
MHCJGCNO_02270	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
MHCJGCNO_02271	CDS	117	elaD	3.4.22.-		Protease ElaD
MHCJGCNO_02272	CDS	963				hypothetical protein
MHCJGCNO_02273	CDS	504	yfbM			Protein YfbM
MHCJGCNO_02274	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
MHCJGCNO_02275	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
MHCJGCNO_02276	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
MHCJGCNO_02277	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
MHCJGCNO_02278	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
MHCJGCNO_02279	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
MHCJGCNO_02280	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
MHCJGCNO_02281	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
MHCJGCNO_02282	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
MHCJGCNO_02283	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
MHCJGCNO_02284	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
MHCJGCNO_02285	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
MHCJGCNO_02286	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
MHCJGCNO_02287	CDS	165				hypothetical protein
MHCJGCNO_02288	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
MHCJGCNO_02289	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
MHCJGCNO_02290	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
MHCJGCNO_02291	CDS	1833				hypothetical protein
MHCJGCNO_02292	CDS	651	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
MHCJGCNO_02293	CDS	495				hypothetical protein
MHCJGCNO_02294	CDS	456				hypothetical protein
MHCJGCNO_02295	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
MHCJGCNO_02296	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
MHCJGCNO_02297	CDS	1479				hypothetical protein
MHCJGCNO_02298	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
MHCJGCNO_02299	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
MHCJGCNO_02300	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
MHCJGCNO_02301	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
MHCJGCNO_02302	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
MHCJGCNO_02303	CDS	894				Epimerase family protein
MHCJGCNO_02304	CDS	891				ISNCY family transposase ISRor2
MHCJGCNO_02305	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
MHCJGCNO_02306	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
MHCJGCNO_02307	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
MHCJGCNO_02308	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
MHCJGCNO_02309	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
MHCJGCNO_02310	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
MHCJGCNO_02311	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
MHCJGCNO_02312	CDS	489	cvpA		COG1286	Colicin V production protein
MHCJGCNO_02313	CDS	663	dedD			Cell division protein DedD
MHCJGCNO_02314	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
MHCJGCNO_02315	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
MHCJGCNO_02316	CDS	660	dedA		COG0586	Protein DedA
MHCJGCNO_02317	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MHCJGCNO_02318	CDS	1014	usg		COG0136	USG-1 protein
MHCJGCNO_02319	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
MHCJGCNO_02320	CDS	996	flk			Flagellar regulator flk
MHCJGCNO_02321	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
MHCJGCNO_02322	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
MHCJGCNO_02323	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
MHCJGCNO_02324	CDS	279				hypothetical protein
MHCJGCNO_02325	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
MHCJGCNO_02326	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
MHCJGCNO_02327	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
MHCJGCNO_02328	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
MHCJGCNO_02329	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
MHCJGCNO_02330	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
MHCJGCNO_02331	CDS	858	yfcO			putative protein YfcO
MHCJGCNO_02332	CDS	528	yfcP			putative fimbrial-like protein YfcP
MHCJGCNO_02333	CDS	480	yfcQ			putative fimbrial-like protein YfcQ
MHCJGCNO_02334	CDS	504	yfcR			putative fimbrial-like protein YfcR
